Change Component Footprint: Designator=U2 Old Footprint=FP-SO8-MFG New Footprint=SOIC127P600X175-8N
Change Component Comment : Designator=U2 Old Comment=LM393D New Comment=Comparator
Change Component Designator: OldDesignator=U2 NewDesignator=IC10
Change Managed Component Library Link : Designator=IC10 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID= Old ItemGUID=40A5E740-9890-4E5E-92AE-D27C7424FF6B New ItemGUID= Old RevisionGUID=12A6AD3B-701A-4460-9109-D4C8B24F5952 New RevisionGUID=
Change component parameters: Designator = "U2" ("IC10"); Footprint = "FP-SO8-MFG"; UniqueID = "\PXGQDYII" ("\PXGQDYII")
Change component parameters (AddParameter): Name = "Max Supply Voltage"; Value = "36V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Dual Supply Voltage"; Value = "1V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "0°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Supply Voltage"; Value = "2V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Nominal Supply Current"; Value = "1mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Channels"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Elements"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Pins"; Value = "8"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Supply Voltage"; Value = "28V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Output Current"; Value = "20mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Output Current per Channel"; Value = "6mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Output Type"; Value = "TTL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "75"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Rail/Tube"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "1=0,44000, 10=0,32700, 50=0,32700, 100=0,18200, 1000=0,12500, 10000=0,11700 (USD)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Quiescent Current"; Value = "2.5mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Response Time"; Value = "0.3us"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "7555"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Mouser"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "595-LM393D"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Gain"; Value = "106.02dB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Weight"; Value = "0.002561oz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "3.91mm"; VariantName = "[No Variations]"
Change Net Name : Old Net Name=NetR28_2 New Net Name=NetIC10_6
Change Net Name : Old Net Name=NetR29_2 New Net Name=NetIC10_3
Change Net Name : Old Net Name=NetR31_2 New Net Name=NetIC10_2
Change Net Name : Old Net Name=NetR38_1 New Net Name=NetIC10_7
Change Net Name : Old Net Name=NetR39_1 New Net Name=NetIC10_1
