Change Component Footprint: Designator=IC5 Old Footprint=QFN50P700X700X100-45N-D New Footprint=QFN50P700X700X100_HS-45N
Change Component Comment : Designator=IC5 Old Comment=ATMEGA1284P-MU New Comment=atmega 1284p-mu
Change component parameters: Designator = "IC5" ("IC5"); Footprint = "QFN50P700X700X100-45N-D"; UniqueID = "\YXSOBMWG" ("\YXSOBMWG")
Change component parameters (AddParameter): Name = "Number of SPI Channels"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Timers/Counters"; Value = "3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Oscillator Type"; Value = "Internal"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "360"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tray"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Peripherals"; Value = "Brown-out Detect/Reset,POR,PWM,WDT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "1=5,55000, 10=5,55000, 50=5,09000, 100=4,61000, 1000=4,61000, 10000=4,61000 (USD)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RAM Size"; Value = "16KB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "AVR® ATmega"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "90"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Mouser"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "556-ATMEGA1284P-MU"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Watchdog Timer"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "7.1mm"; VariantName = "[No Variations]"
